Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2016-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8683193921,7.2349640171,10.0265075233,10.6347325993,27.8500353994,27.4075948192,22.8398182751,22.1037683798,20.7971968709,20.0409954436,19.4380311317,19.3119711634,19.6215339841,19.6525886477,25.5476787955,25.3824897195,24.9755145008,24.9090656084,24.5105426262,24.9645309954,24.7667063374,25.6137149519,24.7501332123,24.8767058452,24.1827022451,23.9224121017,12.7136132353,8.5153953032,,,
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3744949416,6.6163537665,7.1456966031,7.576446281,8.0014338929,8.0181807061,7.7376567803,7.4840948118,7.1591404464,7.2088285229,7.0881277471,6.5534765452,6.3508683051,6.2961245562,6.0491728479,6.1247704901,5.96868547,6.1951939079,6.4738478564,,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.046067875,0.0536149426,0.073781338,0.0742513682,0.0863165425,0.1014986073,0.1076739699,0.1237823814,0.1155473835,0.0868628168,0.1503585483,0.1661148458,0.1308201421,0.1363399535,0.1557251225,0.1690270822,0.1548950263,0.1831183076,0.1633469709,0.1686734879,0.1332302709,0.152639744,0.1658791217,0.205462699,0.2376429485,0.3017341992,0.2747296976,0.275560305,0.2520791563,0.2391312082,0.2166609351,0.1906703956,0.1013747642,0.0907821991,0.0815660801,0.0741160453,0.0673332838,0.0607976653,0.0562584947,0.0431447568,0.0392721224,0.0310775426,0.0411292293,0.0456188391,0.0404152792,0.0544039684,0.0655247469,0.0878576421,0.158961558,0.2490735296,0.3029363884,0.4252621049,0.6880836126,0.6931834107,,,
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.1043571011,0.0847184062,0.2160253426,0.2068770608,0.2161741327,0.2060889589,0.2651641458,0.1666585888,0.2756554712,0.4511256045,0.5685885774,0.5297449611,0.6841202936,0.7230550434,0.7038734362,0.6211988912,0.450116912,0.4712487935,0.7013599211,0.6920971542,0.6510616845,0.6213828041,0.5279307627,0.5603744473,0.5303510311,0.4824005314,0.4649737123,0.5654311534,0.4865035281,0.4629078369,0.4596984868,0.4436645089,0.4385308226,0.4715951597,0.3076010775,0.841494446,0.7790264192,0.5348312996,0.5151170273,0.6270722956,0.6336252986,0.6253517123,0.7862232782,0.5430836668,1.0866048972,1.0694171845,1.2008771474,1.3110964831,1.2956865126,1.354388572,1.3693388779,1.3827521969,1.4722550379,1.3844963891,,,
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.2581949279,1.3741860465,1.4399559638,1.1816811442,1.1117419597,1.1660990427,1.3330554646,1.3637463001,1.519551277,1.5589675721,1.7532399054,1.9894979233,2.515914398,2.3038974169,1.8490066907,1.910633637,2.0135845625,2.2758763914,2.5306250404,2.8982085176,1.9350583103,2.6930239144,2.6248567851,2.683239919,2.6942913736,2.658015382,2.6653562206,2.4140608152,2.3315985305,2.7832430746,1.6156239598,1.3122126001,0.7747249109,0.723790292,0.6002037078,0.654537133,0.6366253129,0.4903650595,0.5602714374,0.9601644119,0.9781746809,1.0533041759,1.2295407095,1.412697196,1.376212735,1.412498211,1.3025763672,1.3223348553,1.4843111389,1.4956001993,1.5785735839,1.8039724179,1.6247219633,1.6621848258,,,
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.6436539677,0.6852395155,0.7609959786,0.8751159434,0.9993491043,1.1661670739,1.2734952869,1.3328089969,1.5473331027,1.7936795067,1.8061003716,2.0003030605,2.1185608268,2.4081855605,2.2854416432,2.1966839406,2.583999864,2.6476535695,2.760212509,2.8607301584,3.0896852089,2.9277194919,2.7217309561,2.8163588296,2.983264569,3.0647021255,3.2883483474,3.2030228024,3.3020587679,3.2658993014,3.1815124647,3.2592234886,3.454857755,3.6952632968,3.7106589987,3.4521327098,3.3459735778,3.1561882631,3.3596482106,3.3391766038,3.7175582975,3.6226217066,3.6232993029,3.817041557,4.0912187728,4.2055780357,4.3048922164,4.1361453553,4.4269075035,4.5886096594,4.6725058101,4.5783487616,4.865849838,4.7003688641,,,
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.1187859025,0.1089369708,0.16335531,0.175712369,0.1326508465,0.1463696962,0.1593585676,5.3367368917,6.7082164134,99.84043878,64.7628889625,76.9888755633,72.3738833397,80.0120447309,69.3158969616,58.4839788053,63.7427976163,53.6569311156,54.163321223,39.4775612718,36.2953257756,33.7176354029,31.82772295,29.0115569974,36.2381326556,36.9705161233,33.0185544281,31.3978173669,29.9693971884,31.8249004011,28.7111602919,29.7988432931,28.7945591264,31.0077909151,32.672832857,30.0575816784,16.6385567117,16.047240311,29.8106307407,27.1739536396,36.9041010738,31.5160990284,24.9565514458,29.4670889002,28.4814369917,25.9145872267,23.9545191641,22.5666231843,22.804550544,21.7975834682,19.3065040405,18.2700918243,19.2522228882,18.7082357944,,,
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.3674730316,2.4426156652,2.5223921045,2.3163557966,2.5383796502,2.6417144627,2.7926539228,2.8581625462,2.9698552182,3.2758503011,3.451159222,3.650078169,3.6378583663,3.7307911178,3.7266991116,3.6418224976,3.7687739312,3.7498711148,3.7627502306,3.9987336971,3.8688529297,3.5749676124,3.5670865434,3.5720419726,3.5601421775,3.3103272882,3.3772452185,3.6691687251,3.8204458082,3.6292021286,3.4407108031,3.5253836847,3.608582241,3.4771604758,3.5693656778,3.6566451639,3.8114571776,3.8512031253,3.8578721931,4.0107002953,3.8355735619,3.56859739,3.2915413932,3.5255754353,4.0690497645,4.1412364964,4.4348371473,4.3827040811,4.6829737412,4.4109727086,4.5586117417,4.6004301797,4.5696352394,4.4622979797,,,
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.599895579,0.7585006023,0.8225814247,1.0580598683,0.8077181594,1.0308007389,1.0802069928,0.9742887434,1.1265294539,1.1576079497,0.9988058081,1.1291735004,1.2045669802,1.4437309551,1.4596369082,1.6947552589,1.8686110287,1.4699609724,1.4229983776,1.6568306972,1.9120895909,1.8370589187,,,
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
